Date,Hour Ending,Location ID,Location Name,Location Type,Day Ahead,Real Time
8.3.2022,15,4479,LD.ASHBRNHM13.8,NETWORK NODE,103.94,116.46
8.3.2022,16,4479,LD.ASHBRNHM13.8,NETWORK NODE,110.9,140.93
8.3.2022,17,4479,LD.ASHBRNHM13.8,NETWORK NODE,131.3,168.34
8.3.2022,18,4479,LD.ASHBRNHM13.8,NETWORK NODE,150.37,260.38
8.3.2022,19,4479,LD.ASHBRNHM13.8,NETWORK NODE,162.42,335.95
8.3.2022,20,4479,LD.ASHBRNHM13.8,NETWORK NODE,150.5,235.02
8.3.2022,21,4479,LD.ASHBRNHM13.8,NETWORK NODE,129.89,182.31
8.3.2022,22,4479,LD.ASHBRNHM13.8,NETWORK NODE,105.14,102.83
8.3.2022,23,4479,LD.ASHBRNHM13.8,NETWORK NODE,89.81,92.72
8.3.2022,24,4479,LD.ASHBRNHM13.8,NETWORK NODE,83.54,73.11
8.4.2022,1,4479,LD.ASHBRNHM13.8,NETWORK NODE,82.69,83.17
8.4.2022,2,4479,LD.ASHBRNHM13.8,NETWORK NODE,74.03,72.93
8.4.2022,3,4479,LD.ASHBRNHM13.8,NETWORK NODE,65.78,65.74
8.4.2022,4,4479,LD.ASHBRNHM13.8,NETWORK NODE,62.2,63.85
8.4.2022,5,4479,LD.ASHBRNHM13.8,NETWORK NODE,62.88,63.82
8.4.2022,6,4479,LD.ASHBRNHM13.8,NETWORK NODE,70.12,64.72
8.4.2022,7,4479,LD.ASHBRNHM13.8,NETWORK NODE,77.43,67.07
8.4.2022,8,4479,LD.ASHBRNHM13.8,NETWORK NODE,84.98,61.55
8.4.2022,9,4479,LD.ASHBRNHM13.8,NETWORK NODE,87.78,67.13
8.4.2022,10,4479,LD.ASHBRNHM13.8,NETWORK NODE,88.48,74.16
8.4.2022,11,4479,LD.ASHBRNHM13.8,NETWORK NODE,107.02,75.72
8.4.2022,12,4479,LD.ASHBRNHM13.8,NETWORK NODE,126.3,89.75
8.4.2022,13,4479,LD.ASHBRNHM13.8,NETWORK NODE,135.69,135.39
8.4.2022,14,4479,LD.ASHBRNHM13.8,NETWORK NODE,194.02,217.05
8.4.2022,15,4479,LD.ASHBRNHM13.8,NETWORK NODE,241.54,234.76
8.4.2022,16,4479,LD.ASHBRNHM13.8,NETWORK NODE,248.55,216.15
8.4.2022,17,4479,LD.ASHBRNHM13.8,NETWORK NODE,296.16,232.11
8.4.2022,18,4479,LD.ASHBRNHM13.8,NETWORK NODE,321.58,214.55
8.4.2022,19,4479,LD.ASHBRNHM13.8,NETWORK NODE,310.82,256.58
8.4.2022,20,4479,LD.ASHBRNHM13.8,NETWORK NODE,260.2,246.59
8.4.2022,21,4479,LD.ASHBRNHM13.8,NETWORK NODE,203.38,215.13
8.4.2022,22,4479,LD.ASHBRNHM13.8,NETWORK NODE,148.93,137.63
8.4.2022,23,4479,LD.ASHBRNHM13.8,NETWORK NODE,106.36,93.6
8.4.2022,24,4479,LD.ASHBRNHM13.8,NETWORK NODE,106.41,99.91
8.5.2022,1,4479,LD.ASHBRNHM13.8,NETWORK NODE,110.97,142.9
8.5.2022,2,4479,LD.ASHBRNHM13.8,NETWORK NODE,97.7,188.49
8.5.2022,3,4479,LD.ASHBRNHM13.8,NETWORK NODE,96.53,138.77
8.5.2022,4,4479,LD.ASHBRNHM13.8,NETWORK NODE,87.43,116.78
8.5.2022,5,4479,LD.ASHBRNHM13.8,NETWORK NODE,85.64,113.98
8.5.2022,6,4479,LD.ASHBRNHM13.8,NETWORK NODE,96.28,145.68
8.5.2022,7,4479,LD.ASHBRNHM13.8,NETWORK NODE,97.19,116.2
8.5.2022,8,4479,LD.ASHBRNHM13.8,NETWORK NODE,108.68,101.17
8.5.2022,9,4479,LD.ASHBRNHM13.8,NETWORK NODE,102.95,86.75
8.5.2022,10,4479,LD.ASHBRNHM13.8,NETWORK NODE,126.47,89.05
8.5.2022,11,4479,LD.ASHBRNHM13.8,NETWORK NODE,132.07,85.67
8.5.2022,12,4479,LD.ASHBRNHM13.8,NETWORK NODE,137.14,99.84
8.5.2022,13,4479,LD.ASHBRNHM13.8,NETWORK NODE,170.55,119.84
8.5.2022,14,4479,LD.ASHBRNHM13.8,NETWORK NODE,185.5,141.66
8.5.2022,15,4479,LD.ASHBRNHM13.8,NETWORK NODE,197.28,128.55
8.5.2022,16,4479,LD.ASHBRNHM13.8,NETWORK NODE,227.84,141.69
8.5.2022,17,4479,LD.ASHBRNHM13.8,NETWORK NODE,236.1,168.31
8.5.2022,18,4479,LD.ASHBRNHM13.8,NETWORK NODE,253.7,127.72
8.5.2022,19,4479,LD.ASHBRNHM13.8,NETWORK NODE,186.71,129.99
8.5.2022,20,4479,LD.ASHBRNHM13.8,NETWORK NODE,187.18,134.65
8.5.2022,21,4479,LD.ASHBRNHM13.8,NETWORK NODE,145.57,132.05
8.5.2022,22,4479,LD.ASHBRNHM13.8,NETWORK NODE,139.28,114.32
8.5.2022,23,4479,LD.ASHBRNHM13.8,NETWORK NODE,103.69,101.9
8.5.2022,24,4479,LD.ASHBRNHM13.8,NETWORK NODE,99.4,86.63
8.6.2022,1,4479,LD.ASHBRNHM13.8,NETWORK NODE,102.89,88.65
8.6.2022,2,4479,LD.ASHBRNHM13.8,NETWORK NODE,97.46,88.34
8.6.2022,3,4479,LD.ASHBRNHM13.8,NETWORK NODE,111.16,90.35
8.6.2022,4,4479,LD.ASHBRNHM13.8,NETWORK NODE,96.72,82.65
8.6.2022,5,4479,LD.ASHBRNHM13.8,NETWORK NODE,87.42,76.5
8.6.2022,6,4479,LD.ASHBRNHM13.8,NETWORK NODE,88.85,79.3
8.6.2022,7,4479,LD.ASHBRNHM13.8,NETWORK NODE,84.37,76.33
8.6.2022,8,4479,LD.ASHBRNHM13.8,NETWORK NODE,84.81,74.69
8.6.2022,9,4479,LD.ASHBRNHM13.8,NETWORK NODE,89,79.35
8.6.2022,10,4479,LD.ASHBRNHM13.8,NETWORK NODE,87.89,83.96
8.6.2022,11,4479,LD.ASHBRNHM13.8,NETWORK NODE,97.41,82.68
8.6.2022,12,4479,LD.ASHBRNHM13.8,NETWORK NODE,122.46,108.55
8.6.2022,13,4479,LD.ASHBRNHM13.8,NETWORK NODE,115.3,115.38
8.6.2022,14,4479,LD.ASHBRNHM13.8,NETWORK NODE,122.24,130.28
8.6.2022,15,4479,LD.ASHBRNHM13.8,NETWORK NODE,128.24,151.91
8.6.2022,16,4479,LD.ASHBRNHM13.8,NETWORK NODE,136.25,129.82
8.6.2022,17,4479,LD.ASHBRNHM13.8,NETWORK NODE,144.71,158.82
8.6.2022,18,4479,LD.ASHBRNHM13.8,NETWORK NODE,156.93,246.62
8.6.2022,19,4479,LD.ASHBRNHM13.8,NETWORK NODE,156.49,244.11
8.6.2022,20,4479,LD.ASHBRNHM13.8,NETWORK NODE,137.8,207.14
8.6.2022,21,4479,LD.ASHBRNHM13.8,NETWORK NODE,128.03,141.73
8.6.2022,22,4479,LD.ASHBRNHM13.8,NETWORK NODE,108.71,164.89
8.6.2022,23,4479,LD.ASHBRNHM13.8,NETWORK NODE,101.51,137.59
8.6.2022,24,4479,LD.ASHBRNHM13.8,NETWORK NODE,96.27,113.85
8.7.2022,1,4479,LD.ASHBRNHM13.8,NETWORK NODE,96.83,113.91
8.7.2022,2,4479,LD.ASHBRNHM13.8,NETWORK NODE,94.22,109.43
8.7.2022,3,4479,LD.ASHBRNHM13.8,NETWORK NODE,92.14,133.18
8.7.2022,4,4479,LD.ASHBRNHM13.8,NETWORK NODE,86.1,126.37
8.7.2022,5,4479,LD.ASHBRNHM13.8,NETWORK NODE,87.48,93.35
8.7.2022,6,4479,LD.ASHBRNHM13.8,NETWORK NODE,83.12,93.62
8.7.2022,7,4479,LD.ASHBRNHM13.8,NETWORK NODE,78.84,86.21
8.7.2022,8,4479,LD.ASHBRNHM13.8,NETWORK NODE,80.23,88.66
8.7.2022,9,4479,LD.ASHBRNHM13.8,NETWORK NODE,91.01,111.09
8.7.2022,10,4479,LD.ASHBRNHM13.8,NETWORK NODE,91.2,130.78
8.7.2022,11,4479,LD.ASHBRNHM13.8,NETWORK NODE,111.54,114.55
8.7.2022,12,4479,LD.ASHBRNHM13.8,NETWORK NODE,115.35,123
8.7.2022,13,4479,LD.ASHBRNHM13.8,NETWORK NODE,107.42,120.19
8.7.2022,14,4479,LD.ASHBRNHM13.8,NETWORK NODE,116.54,135.57
8.7.2022,15,4479,LD.ASHBRNHM13.8,NETWORK NODE,130.48,132.28
8.7.2022,16,4479,LD.ASHBRNHM13.8,NETWORK NODE,140.57,148.62
8.7.2022,17,4479,LD.ASHBRNHM13.8,NETWORK NODE,154.54,169.48
8.7.2022,18,4479,LD.ASHBRNHM13.8,NETWORK NODE,177.33,137.93
8.7.2022,19,4479,LD.ASHBRNHM13.8,NETWORK NODE,177,168.38
8.7.2022,20,4479,LD.ASHBRNHM13.8,NETWORK NODE,151.58,135.91
8.7.2022,21,4479,LD.ASHBRNHM13.8,NETWORK NODE,141.02,152.98
8.7.2022,22,4479,LD.ASHBRNHM13.8,NETWORK NODE,124.35,124.62
8.7.2022,23,4479,LD.ASHBRNHM13.8,NETWORK NODE,96.89,122.63
8.7.2022,24,4479,LD.ASHBRNHM13.8,NETWORK NODE,96.9,130.73
8.8.2022,1,4479,LD.ASHBRNHM13.8,NETWORK NODE,123.06,145.84
8.8.2022,2,4479,LD.ASHBRNHM13.8,NETWORK NODE,114.67,115.38
8.8.2022,3,4479,LD.ASHBRNHM13.8,NETWORK NODE,94.62,114.62
8.8.2022,4,4479,LD.ASHBRNHM13.8,NETWORK NODE,86.32,88.69
8.8.2022,5,4479,LD.ASHBRNHM13.8,NETWORK NODE,88.19,91.8
8.8.2022,6,4479,LD.ASHBRNHM13.8,NETWORK NODE,105.79,144.65
8.8.2022,7,4479,LD.ASHBRNHM13.8,NETWORK NODE,101.21,124.8
8.8.2022,8,4479,LD.ASHBRNHM13.8,NETWORK NODE,124.4,94.07
